COMBUSTIBLE,ESTADO,MODELO,FECHA_REGISTRO,CLASIFICACION,CLASE,SERVICIO,MARCA,LINEA,CARROCERIA,CILINDRAJE,ORGANISMO_TRANSITO,MUNICIPIO,DEPARTAMENTO,POTENCIA,EJES
ELECTRICO,ACTIVO,2022,2022-06-30,AUTOMOVIL,BUS,Público,BYD,BC11S01,CERRADA,0.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,402.0,2.0
ELECTRICO,ACTIVO,2023,2022-10-21,AUTOMOVIL,CAMIONETA,Particular,BYD,YUAN PRO EV,WAGON,0.0,INSTITUTO DE MOVILIDAD DE PEREIRA,PEREIRA,Risaralda,134.0,2.0
ELECTRICO,ACTIVO,2021,2022-08-10,AUTOMOVIL,CAMIONETA,Público,DONGFENG,DFA5030XXYABEV7,PANEL,0.0,STRIA TTOyTTE MCPAL FUNZA,FUNZA,Cundinamarca,80.0,2.0
ELECTRICO,ACTIVO,2022,2021-10-25,AUTOMOVIL,CAMIONETA,Particular,BYD,SONG PRO EV,WAGON,0.0,STRIA TTEyMOV CUND/EL ROSAL,EL ROSAL,Cundinamarca,161.0,2.0
ELECTRICO,ACTIVO,2023,2022-08-03,AUTOMOVIL,AUTOMOVIL,Particular,MINI,COOPER SE,HATCH BACK,0.0,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,184.0,2.0
ELECTRICO,ACTIVO,2020,2019-10-31,AUTOMOVIL,AUTOMOVIL,Particular,BMW,I3,HATCH BACK,0.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,170.0,2.0
ELECTRICO,ACTIVO,2022,2021-08-27,AUTOMOVIL,AUTOMOVIL,Particular,BYD,E1,HATCH BACK,0.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,60.0,2.0
ELECTRICO,ACTIVO,2023,2022-09-14,AUTOMOVIL,CAMIONETA,Particular,BMW,IX XDRIVE40,WAGON,0.0,STRIA TTOyTTE MCPAL FUNZA,FUNZA,Cundinamarca,326.0,2.0
ELECTRICO,ACTIVO,2020,2020-06-10,AUTOMOVIL,CAMIONETA,Público,JAC,HFC1031XXYEV41,FURGON,0.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,147.0,2.0
ELECTRICO,ACTIVO,2023,2022-06-25,AUTOMOVIL,CAMIONETA,Particular,JAC,eS4,WAGON,0.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,147.0,2.0
ELECTRICO,ACTIVO,2022,2021-12-22,AUTOMOVIL,CAMIONETA,Particular,BYD,YUAN EV400,WAGON,0.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,94.0,2.0
ELECTRICO,ACTIVO,2022,2022-07-14,AUTOMOVIL,BUS,Público,BYD,BC11S01,CERRADA,0.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,402.0,2.0
ELECTRICO,ACTIVO,2022,2021-06-23,AUTOMOVIL,AUTOMOVIL,Particular,BMW,I3S,HATCH BACK,0.0,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,181.0,2.0
ELECTRICO,ACTIVO,2022,2022-03-14,AUTOMOVIL,BUS,Público,BYD,BC89S01,CERRADA,0.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,268.0,2.0
