ds,yhat,yhat_lower,yhat_upper
2010-01-31,51240.95333158068,45416.44483279039,56583.008003944036
2010-02-28,50964.38714354923,45718.39962604063,56827.981717223534
2010-03-31,50643.234285495615,44949.7643325161,55562.92093997453
2010-04-30,52267.104822127796,46792.23340847758,57575.44376672077
2010-05-31,51839.88872836253,46545.318580572835,57252.34912667258
2010-06-30,51479.80308887903,45963.74372431834,56721.2134873775
2010-07-31,55261.264228402855,49837.67062746408,60296.006821474664
2010-08-31,55003.446102692484,49535.82924339331,59763.862898372725
2010-09-30,54872.93176969943,48885.29519002649,60395.94808020718
2010-10-31,59960.4118856665,54433.98963216118,65303.92435876572
2010-11-30,59592.90362522712,53766.1043434156,64796.76936841085
2010-12-31,59607.8892422813,54340.16298972107,64503.034185312186
2011-01-31,54129.39666097431,49061.69473102374,59345.76808162837
2011-02-28,52662.97612138226,47406.55359259573,58341.267452372274
2011-03-31,52159.074437067626,46712.12463573314,57582.02417663739
2011-04-30,55420.996080653895,50154.83299251656,60985.67528813378
2011-05-31,54622.37843393991,48950.020940818315,60292.36532466093
2011-06-30,54063.66346358993,48780.32069705283,59531.18064789513
2011-07-31,57289.67373735068,51785.68727571336,62527.000116234456
2011-08-31,57117.05808881321,52012.50618166859,62338.853627090146
2011-09-30,57317.51792007675,52098.49501945199,62965.70920448583
2011-10-31,62059.566997393966,56599.491597147906,67815.87919112791
2011-11-30,62087.87616829464,56967.14675378632,67808.70663287056
2011-12-31,62555.87926449884,56741.208996067166,67898.07116191824
2012-01-31,56999.84749808626,51694.84431098853,62536.46787748534
2012-02-29,57084.66161020714,51873.917580487854,62550.71399361765
2012-03-31,57233.01035741328,51733.19287307209,62539.88020400519
2012-04-30,55584.39631865125,50127.80027039177,61072.84944928556
2012-05-31,55825.90245428886,50499.477665529754,61457.30716463442
2012-06-30,55831.44692251146,50287.43486425783,60964.55685819542
2012-07-31,60730.1782554406,55101.611794668286,66304.91584445507
2012-08-31,60343.17518245358,54929.41036087728,65613.28675473237
2012-09-30,59556.52352754353,54085.75668632284,64743.12225048724
2012-10-31,65337.64580884092,59788.354765215154,70568.91152597484
2012-11-30,64203.87629764806,59160.92563489647,69744.48946875944
2012-12-31,63278.836328223275,57894.73284672522,68675.51578491018
2013-01-31,57896.47718980104,52595.723382634606,63127.08642191934
2013-02-28,58812.86040062192,53474.0290063082,63899.700981747075
2013-03-31,58709.14754523405,53420.2121648082,64001.17360697265
2013-04-30,58695.55229388881,53071.31163430319,64169.19119747366
2013-05-31,58614.48068372697,53212.385912996404,63938.51314513495
2013-06-30,58442.08291724108,52884.507989431775,64040.52326236793
2013-07-31,62780.785356221124,57291.52746117206,68510.35728694408
2013-08-31,62450.95264306805,57154.02655359689,68051.52477082686
2013-09-30,61990.735023431065,56877.462075034506,67585.81119736539
2013-10-31,67424.06643272188,61833.906628927536,72669.00505033055
2013-11-30,66668.47369915326,61134.46486663453,71763.48543850948
2013-12-31,66218.35400809674,60858.860924220775,71688.76891718183
2014-01-31,60797.25185373978,54949.50062316668,66209.17079687063
2014-02-28,60520.17235120647,55092.02254225144,66020.96271590782
2014-03-31,60198.451175244234,54587.4108353161,65210.04387092851
2014-04-30,61821.771726823004,56519.22018692068,67212.85437987161
2014-05-31,61393.98731515258,55971.277730247835,66348.9463661271
2014-06-30,61033.35169060275,55902.651337276744,66257.11798462029
2014-07-31,64814.24451553135,59447.62515030886,70172.98059350434
2014-08-31,64555.85806817616,59415.18568837397,69716.20664392487
2014-09-30,64424.79374649073,58952.70809671192,69744.03390270523
2014-10-31,69511.70554081108,63899.79545094738,74767.87239760428
2014-11-30,69143.64729168126,63879.970729500135,74423.04163856052
2014-12-31,69158.06459049728,63765.12143309439,74631.96603439856
2015-01-31,63679.00368846975,57938.293409563594,68915.66093466419
2015-02-28,62212.06982694058,57166.92364733595,67444.10258766229
2015-03-31,61707.599821894015,56175.60174614643,67408.98158994665
2015-04-30,64968.971477692874,59416.29634119019,69889.56027628334
2015-05-31,64169.78550969808,58699.16890489238,68964.43542561591
2015-06-30,63610.52055100817,58269.30310626619,69188.00236510184
2015-07-31,66835.96250348663,61649.42092848218,71787.26667880216
2015-08-31,66662.7785336739,61122.21055612143,72042.06219571683
2015-09-30,66862.68837660358,61577.45865383368,72629.38709093178
2015-10-31,71604.16913575385,66250.45187213263,77261.54450879683
2015-11-30,71631.92832133982,66113.9059415464,77188.92558819288
2015-12-31,72099.36309938184,66741.8749090668,77228.11852194107
2016-01-31,66542.7630148059,61060.42423922531,71804.79997148277
2016-02-29,66627.0454768438,61295.20477300157,71913.33062191114
2016-03-31,66774.82591503553,61486.14048807761,72421.02535919144
2016-04-30,65125.66189982416,59571.95232566475,70445.99334893665
2016-05-31,65366.59972645217,59994.66015119672,70670.6339791297
2016-06-30,65371.59421822315,59758.46622414775,70892.58670884583
2016-07-31,70269.75724664395,64827.54274954217,75639.15319509557
2016-08-31,69882.18587146813,64338.120188405985,75214.65446833495
2016-09-30,69094.98424669915,63607.709693771205,74171.22869288188
2016-10-31,74875.5382258062,69467.48178940266,80557.24179909602
2016-11-30,73741.21874475045,68443.45529621793,78841.94874751539
2016-12-31,72815.61048489885,67604.26022515523,78094.74628031443
2017-01-31,67432.68344805007,61960.91342282983,72680.27471465323
2017-02-28,68348.55371836819,62961.75448976817,74087.19597005336
2017-03-31,68244.27296454582,62769.50246228584,73657.21849357068
2017-04-30,68230.12813408398,62757.41158213464,74009.53544744446
2017-05-31,68149.05690547236,62983.84296707276,73645.56812150142
2017-06-30,67984.8391581773,62589.84583221071,73489.47657016566
2017-07-31,72331.99428365607,67273.81840223666,78183.90575759548
2017-08-31,72010.61425700544,66671.45856588641,77524.20384278623
2017-09-30,71558.57665655538,65922.97801749322,77630.99551115674
2017-10-31,77000.36075120156,71656.20295606098,82656.04154361572
2017-11-30,76318.17545122569,70384.00859006305,81929.95202617324
2017-12-31,75943.91010822463,71026.85235116519,81319.13408565587
2018-01-31,70598.6623019122,65230.307720747674,75889.86121139073
2018-02-28,70390.09640407242,65051.90947169789,75760.10786812069
2018-03-31,70144.22958158326,65089.92038002512,75427.25143709005
2018-04-30,71977.58797788991,66346.66290857914,77790.47234359631
2018-05-31,71766.84267245847,66673.45168472016,76732.52731340207
2018-06-30,71616.24489264577,66405.83805341828,76774.71558383432
2018-07-31,75614.17682381351,70273.7013296831,80982.16454011826
2018-08-31,75604.68635367058,70350.37821511517,81145.87703091478
2018-09-30,75714.48910671179,70652.87844459135,81282.58901188982
2018-10-31,81050.29687824693,75838.06172217312,86114.89718863214
2018-11-30,80923.10570384213,75738.62644415438,85842.22607666653
2018-12-31,81186.41897987416,75437.74403417055,86532.19051191787
2019-01-31,75956.25406056829,70205.11614562484,81118.8035633734
2019-02-28,74714.1294737493,69333.96435789255,79788.11651170043
2019-03-31,74458.55545143894,69300.81301467928,79845.074045679
2019-04-30,77960.79418727572,72968.6126506639,83479.62818908952
2019-05-31,77410.50420399822,72185.6257701418,82978.85561473647
2019-06-30,77092.10633103282,71533.20729042895,82513.11426181198
